"ID","Normscore","group","typeMeasure","Cluster"
"245",0.147097165314574,"3-Day","changeBehavior","Outcome-insensitive"
"247",0.431371485386206,"3-Day","changeBehavior","Outcome-insensitive"
"249",-0.133420655315858,"3-Day","changeBehavior","Outcome-insensitive"
"251",-0.202225451467901,"3-Day","changeBehavior","Outcome-insensitive"
"252",0.104320479003146,"3-Day","changeBehavior","Outcome-insensitive"
"254",0.325189667523026,"3-Day","changeBehavior","Outcome-insensitive"
"255",1.24969070983307,"3-Day","changeBehavior","Outcome-sensitive"
"257",-0.215890709445859,"3-Day","changeBehavior","Outcome-insensitive"
"258",0.00380464130810276,"3-Day","changeBehavior","Outcome-insensitive"
"259",0.780005429901753,"3-Day","changeBehavior","Outcome-sensitive"
"260",0.0675073236726469,"3-Day","changeBehavior","Outcome-insensitive"
"261",0.339370361356687,"3-Day","changeBehavior","Outcome-insensitive"
"262",-0.0668552202242552,"3-Day","changeBehavior","Outcome-insensitive"
"263",-0.338069446518982,"3-Day","changeBehavior","Outcome-insensitive"
"264",-0.0273997420202208,"3-Day","changeBehavior","Outcome-insensitive"
"265",-0.130725400762592,"3-Day","changeBehavior","Outcome-insensitive"
"267",4.26545572625089,"3-Day","changeBehavior","Outcome-sensitive"
"270",-0.0628894062776766,"3-Day","changeBehavior","Outcome-insensitive"
"271",0.274304090007539,"3-Day","changeBehavior","Outcome-insensitive"
"272",-0.292503388088467,"3-Day","changeBehavior","Outcome-insensitive"
"276",2.66447402319444,"3-Day","changeBehavior","Outcome-sensitive"
"277",2.22463735968498,"3-Day","changeBehavior","Outcome-sensitive"
"280",4.48324104505384,"3-Day","changeBehavior","Outcome-sensitive"
"281",0.361870261867981,"3-Day","changeBehavior","Outcome-insensitive"
"282",-0.531782042018528,"3-Day","changeBehavior","Outcome-insensitive"
"283",-0.0287210641642575,"3-Day","changeBehavior","Outcome-insensitive"
"284",0.696880389332584,"3-Day","changeBehavior","Outcome-sensitive"
"285",-0.0486438405723808,"3-Day","changeBehavior","Outcome-insensitive"
