ID,GROUP,VALUE,presses_pre,presses_post,presses_reacquisition,presses_change,habit_index
103,1,valued,3.79691377398075,4.26036288728905,4.02262199562872,0.463449113308307,0.800176787015933
103,1,devalued,3.53140079133314,3.19467311762551,2.25132524867157,-0.336727673707626,0.800176787015933
103,1,baseline,0,0,0,0,0.800176787015933
104,1,valued,3.74441643884336,4.28248017594119,3.72740609193663,0.538063737097834,0.295728531966918
104,1,devalued,4.27465733906783,4.51699254419874,3.45502695485571,0.242335205130916,0.295728531966918
104,1,baseline,0,0,0,0,0.295728531966918
106,1,valued,2.51349178619941,1.38428633828326,2.73355212027875,-1.12920544791615,0.0106135284540656
106,1,devalued,2.47305813707654,1.33323916070633,0.799409436370639,-1.13981897637022,0.0106135284540656
106,1,baseline,0,0,0,0,0.0106135284540656
107,1,valued,3.80232276453203,3.83890587670059,3.15586611670036,0.0365831121685565,1.24679677929625
107,1,devalued,3.63341551964496,2.42320185251727,2.63628611372434,-1.2102136671277,1.24679677929625
107,1,baseline,0,0,0,0,1.24679677929625
108,1,valued,3.74302493319977,4.36360346648455,4.51646617282099,0.620578533284783,0.134316089974799
108,1,devalued,4.10076093906414,4.58702338237412,4.64517944680151,0.486262443309984,0.134316089974799
108,1,baseline,0,0,0,0,0.134316089974799
110,1,valued,0.941797221304221,0.383521990609523,0.600235665425742,-0.558275230694698,-0.0622622737525851
110,1,devalued,0.745889255120109,0.249876298177996,0.467346273096388,-0.496012956942113,-0.0622622737525851
110,1,baseline,0,0,0,0,-0.0622622737525851
113,1,valued,4.42651079336852,4.92740821844656,4.47700006144115,0.500897425078039,0.219531728408498
113,1,devalued,4.47448611011238,4.75585180678192,4.5359876181578,0.281365696669541,0.219531728408498
113,1,baseline,0,0,0,0,0.219531728408498
114,1,valued,0.489418730122079,0.483432103148818,0.400088191337651,-0.0059866269732608,-0.0555854595748996
114,1,devalued,0.700257677977892,0.749856510579531,0.233455699543757,0.0495988326016388,-0.0555854595748996
114,1,baseline,0,0,0,0,-0.0555854595748996
115,1,valued,3.30214724926512,4.02770389072,3.86675097369264,0.725556641454886,-0.216615357265147
115,1,devalued,3.00386714930233,3.94603914802236,4.1207523417297,0.942171998720033,-0.216615357265147
115,1,baseline,0,0,0,0,-0.216615357265147
117,1,valued,1.46183405531597,1.63370367749694,1.53411092934394,0.17186962218097,0.266691045796094
117,1,devalued,1.34527647988683,1.2504550562717,1.38333654472751,-0.0948214236151246,0.266691045796094
117,1,baseline,0,0,0,0,0.266691045796094
118,1,valued,4.49523065795329,5.03358584214278,4.85635446697485,0.53835518418949,0.310239046300916
118,1,devalued,4.59664218255486,4.82475832044343,4.58329817006933,0.228116137888574,0.310239046300916
118,1,baseline,0,0,0,0,0.310239046300916
119,1,valued,3.46064230837174,3.4598368707751,3.63141321925639,-0.000805437596640868,2.29557461288722
119,1,devalued,3.54722418809854,1.25084413761469,1.58414212002523,-2.29638005048386,2.29557461288722
119,1,baseline,0,0,0,0,2.29557461288722
120,1,valued,3.81661138226053,4.49720392602643,4.2474207542728,0.680592543765893,2.42509062960734
120,1,devalued,3.61132418205439,1.86682609621294,3.93831764165528,-1.74449808584145,2.42509062960734
120,1,baseline,0,0,0,0,2.42509062960734
121,1,valued,3.21966409736997,3.7959722783387,3.7253705438149,0.576308180968732,0.019455208034719
121,1,devalued,3.04198992979122,3.59884290272523,3.37088003765938,0.556852972934013,0.019455208034719
121,1,baseline,0,0,0,0,0.019455208034719
122,1,valued,4.6332073392959,3.93507326260651,4.1226006172867,-0.698134076689392,-0.0751758628834129
122,1,devalued,4.62349815219091,4.00053993838493,1.74469635525014,-0.622958213805979,-0.0751758628834129
122,1,baseline,0,0,0,0,-0.0751758628834129
124,1,valued,4.47701788658586,4.52637448022329,3.96196897034933,0.0493565936374338,1.54863050326116
124,1,devalued,4.45657869266362,2.95730478303989,4.11392343665216,-1.49927390962373,1.54863050326116
124,1,baseline,0,0,0,0,1.54863050326116
126,1,valued,4.45440844375957,5.32603831131486,4.01804929020132,0.871629867555295,0.00368393603927775
126,1,devalued,4.18430646391585,5.05225239543186,3.70354002628588,0.867945931516017,0.00368393603927775
126,1,baseline,0,0,0,0,0.00368393603927775
127,1,valued,3.24003673569654,3.3949231086653,4.01630743556245,0.154886372968761,1.35014307816737
127,1,devalued,2.34660769588718,1.15135099068857,0.900236014935538,-1.19525670519861,1.35014307816737
127,1,baseline,0,0,0,0,1.35014307816737
128,1,valued,4.67849280170369,0.94575445058032,0,-3.73273835112337,1.23367709018292
128,1,devalued,4.9664154413063,0,0,-4.9664154413063,1.23367709018292
128,1,baseline,0,0,0,0,1.23367709018292
129,1,valued,3.2168530254635,3.85449155239154,3.34835853045864,0.63763852692804,-0.122673248651964
129,1,devalued,3.48275072346615,4.24306249904615,3.6932872710493,0.760311775580004,-0.122673248651964
129,1,baseline,0,0,0,0,-0.122673248651964
130,1,valued,3.56696835162312,3.76435787431452,3.72744554779162,0.1973895226914,0.480849315382779
130,1,devalued,3.77124378898377,3.48778399629239,3.80972615642782,-0.283459792691379,0.480849315382779
130,1,baseline,0,0,0,0,0.480849315382779
131,1,valued,2.35111499158396,2.74605130691253,2.8292482527953,0.394936315328573,2.59474944251423
131,1,devalued,2.31645407360097,0.116640946415316,1.07083638095249,-2.19981312718565,2.59474944251423
131,1,baseline,0,0,0,0,2.59474944251423
133,1,valued,1.58248433647675,1.68346731898449,1.71047998974272,0.100982982507741,1.05989897880822
133,1,devalued,1.80912319866214,0.850207202361669,1.74210858770582,-0.958915996300474,1.05989897880822
